date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Bunia,,,,,,,,
20180728,Ituri,Komanda,,,,,,,,
20180728,Ituri,Mambasa,,,,,,,,
20180728,Ituri,Mandima,,,,,,,,
20180728,Ituri,Nyankunde,,,,,,,,
20180728,Ituri,Tchomia,,,,,,,,
20180728,Kinshasa,Kinshasa,,,,,,,,
20180728,North-Kivu,Alimbongo,,,,,,,,
20180728,North-Kivu,Beni,,,,,,,,
20180728,North-Kivu,Biena,,,,,,,,
20180728,North-Kivu,Butembo,,,,,,,,
20180728,North-Kivu,Goma,,,,,,,,
20180728,North-Kivu,Kalunguta,,,,,,,,
20180728,North-Kivu,Karisimbi,,,,,,,,
20180728,North-Kivu,Katwa,,,,,,,,
20180728,North-Kivu,Kyondo,,,,,,,,
20180728,North-Kivu,Lubero,,,,,,,,
20180728,North-Kivu,Mabalako,,,,,,,,
20180728,North-Kivu,Mangurujipa,,,,,,,,
20180728,North-Kivu,Masereka,,,,,,,,
20180728,North-Kivu,Musienene,,,,,,,,
20180728,North-Kivu,Mutwanga,,,,,,,,
20180728,North-Kivu,Oicha,,,,,,,,
20180728,North-Kivu,Vuhovi,,,,,,,,
20180728,Tshopo,Kisangani,,,,,,,,
20180728,all,all,,,,,,,,
20180729,Ituri,Bunia,,,,,,,,
20180729,Ituri,Komanda,,,,,,,,
20180729,Ituri,Mambasa,,,,,,,,
20180729,Ituri,Mandima,,,,,,,,
20180729,Ituri,Nyankunde,,,,,,,,
20180729,Ituri,Tchomia,,,,,,,,
20180729,Kinshasa,Kinshasa,,,,,,,,
20180729,North-Kivu,Alimbongo,,,,,,,,
20180729,North-Kivu,Beni,,,,,,,,
20180729,North-Kivu,Biena,,,,,,,,
20180729,North-Kivu,Butembo,,,,,,,,
20180729,North-Kivu,Goma,,,,,,,,
20180729,North-Kivu,Kalunguta,,,,,,,,
20180729,North-Kivu,Karisimbi,,,,,,,,
20180729,North-Kivu,Katwa,,,,,,,,
20180729,North-Kivu,Kyondo,,,,,,,,
20180729,North-Kivu,Lubero,,,,,,,,
20180729,North-Kivu,Mabalako,,,,,,,,
20180729,North-Kivu,Mangurujipa,,,,,,,,
20180729,North-Kivu,Masereka,,,,,,,,
20180729,North-Kivu,Musienene,,,,,,,,
20180729,North-Kivu,Mutwanga,,,,,,,,
20180729,North-Kivu,Oicha,,,,,,,,
20180729,North-Kivu,Vuhovi,,,,,,,,
20180729,Tshopo,Kisangani,,,,,,,,
20180729,all,all,,,,,,,,
20180730,Ituri,Bunia,,,,,,,,
20180730,Ituri,Komanda,,,,,,,,
20180730,Ituri,Mambasa,,,,,,,,
20180730,Ituri,Mandima,,,,,,,,
20180730,Ituri,Nyankunde,,,,,,,,
20180730,Ituri,Tchomia,,,,,,,,
20180730,Kinshasa,Kinshasa,,,,,,,,
20180730,North-Kivu,Alimbongo,,,,,,,,
20180730,North-Kivu,Beni,,,,,,,,
20180730,North-Kivu,Biena,,,,,,,,
20180730,North-Kivu,Butembo,,,,,,,,
20180730,North-Kivu,Goma,,,,,,,,
20180730,North-Kivu,Kalunguta,,,,,,,,
20180730,North-Kivu,Karisimbi,,,,,,,,
20180730,North-Kivu,Katwa,,,,,,,,
20180730,North-Kivu,Kyondo,,,,,,,,
20180730,North-Kivu,Lubero,,,,,,,,
20180730,North-Kivu,Mabalako,,,,,,,,
20180730,North-Kivu,Mangurujipa,,,,,,,,
20180730,North-Kivu,Masereka,,,,,,,,
20180730,North-Kivu,Musienene,,,,,,,,
20180730,North-Kivu,Mutwanga,,,,,,,,
20180730,North-Kivu,Oicha,,,,,,,,
20180730,North-Kivu,Vuhovi,,,,,,,,
20180730,Tshopo,Kisangani,,,,,,,,
20180730,all,all,,,,,,,,
20180731,Ituri,Bunia,,,,,,,,
20180731,Ituri,Komanda,,,,,,,,
20180731,Ituri,Mambasa,,,,,,,,
20180731,Ituri,Mandima,,,,,,,,
20180731,Ituri,Nyankunde,,,,,,,,
20180731,Ituri,Tchomia,,,,,,,,
20180731,Kinshasa,Kinshasa,,,,,,,,
20180731,North-Kivu,Alimbongo,,,,,,,,
20180731,North-Kivu,Beni,,,,,,,,
20180731,North-Kivu,Biena,,,,,,,,
20180731,North-Kivu,Butembo,,,,,,,,
